Subject,Object
1999 FA Women's Cup Final,women's association football
2000 African Badminton Championships,continental championship
2000 Czech International Badminton Championships,open championship
2000 DFS Classic – Doubles,women's doubles
2001 Czech International Badminton Championships,open championship
2001 FA Women's Cup Final,women's association football
2001 Israeli Badminton Championships,national championship
2001 Pan American Badminton Championships,continental championship
2001 Ten Days of Dawn,open championship
2002 BMW Open Badminton Championships,open championship
2002 Czech International Badminton Championships,open championship
2002 Israeli Badminton Championships,national championship
2002 Ten Days of Dawn,open championship
2003 Bitburger Open Badminton Championships,open championship
2003 Czech International Badminton Championships,open championship
2003 FA Women's Cup Final,women's association football
2003 Israeli Badminton Championships,national championship
2003 Welsh International Badminton Championships,open championship
2004 Bitburger Open Badminton Championships,open championship
2004 Czech International Badminton Championships,open championship
2004 FA Women's Cup Final,women's association football
2004 Iran International Badminton Championships,open championship
2004 Israeli Badminton Championships,national championship
2004 Thomas Cup – Qualification America,men's team
2005 Bitburger Open Badminton Championships,open championship
2005 Czech International Badminton Championships,open championship
2005 European Figure Skating Championships - ice dancing compulsory dance,senior
2005 Israeli Badminton Championships,national championship
2006 African Badminton Championships,continental championship
2006 Cup of China - ice dancing original dance,senior
2006 Czech International Badminton Championships,open championship
2006 European Figure Skating Championships - ice dancing compulsory dance,senior
2006 FA Women's Cup Final,women's association football
2006 Israeli Badminton Championships,national championship
2006 Skate America - ice dancing original dance,senior
2006 Skate Canada International - ice dancing original dance,senior
2006 Thomas Cup – Qualification Africa,men's team
2006 Uber Cup – Qualification America,women's team
2006 UCI Road World Championships – Women's road race,women's cycle sport
2007 Cup of China - ice dancing original dance,senior
2007 Cup of Russia - ice dancing original dance,senior
2007 European Figure Skating Championships - ice dancing compulsory dance,senior
2007 Iran International Badminton Championships,open championship
2007 NHK Trophy - ice dancing original dance,senior
2007 Skate America - ice dancing original dance,senior
2007 Skate Canada International - ice dancing original dance,senior
2007 Trophée Eric Bompard - ice dancing original dance,senior
2008 Cup of China - ice dancing compulsory dance,senior
2008 Cup of Russia - ice dancing compulsory dance,senior
2008 Cup of Russia - ice dancing original dance,senior
2008 European Figure Skating Championships - ice dancing compulsory dance,senior
2008 German International Junior Badminton Championships,open championship
2008 NHK Trophy - ice dancing original dance,senior
2008 Skate America - ice dancing compulsory dance,senior
2008 Skate Canada International - ice dancing compulsory dance,senior
2008 Trophée Eric Bompard - ice dancing compulsory dance,senior
2008 Trophée Eric Bompard - ice dancing original dance,senior
2008 Uber Cup – Qualification Africa,women's team
2009 African Badminton Championships,continental championship
2009 Cup of China - ice dancing compulsory dance,senior
2009 European Figure Skating Championships - ice dancing compulsory dance,senior
2009 German International Junior Badminton Championships,open championship
2009 Irish Badminton Championships,national championship
2009 Legg Mason Tennis Classic – Doubles,men's doubles
2009 NHK Trophy - ice dancing compulsory dance,senior
2009 Pan American Badminton Championships,continental championship
2009 Rostelecom Cup - ice dancing compulsory dance,senior
2009 Skate America - ice dancing compulsory dance,senior
2009 Skate Canada International - ice dancing compulsory dance,senior
2010 African Badminton Championships,continental championship
2010 Badminton World Championships,world championship
2010 German International Junior Badminton Championships,open championship
2010 Thomas Cup – Qualification Asia,men's team
2010 Thomas Cup – Qualification Oceania,men's team
2010 Uber Cup – Qualification Africa,women's team
2010 Uber Cup – Qualification Asia,women's team
2011 African Badminton Championships,continental championship
2011 Badminton World Championships,world championship
2011 German International Junior Badminton Championships,open championship
2011 UCI Road World Championships – Women's road race,women's cycle sport
2012 German International Junior Badminton Championships,open championship
2012 Irish Badminton Championships,national championship
2012 UCI Road World Championships – Women's road race,women's cycle sport
2013 Australian Badminton Championships,national championship
2013 Badminton World Championships,world championship
2013 FA Women's Cup Final,women's association football
2013 German International Junior Badminton Championships,open championship
2013 La Flèche Wallonne Féminine,women's cycle sport
2014 AFC Women's Asian Cup qualification,girls' football
2014 Australian Badminton Championships,national championship
2014 Badminton World Championships,world championship
2014 German International Junior Badminton Championships,open championship
2014 Indiana Fever season,women's sports
2014 Indonesia Super Series Premier,open championship
2014 Irish Badminton Championships,national championship
2014 La Flèche Wallonne Féminine,women's cycle sport
2015 Australian Badminton Championships,national championship
2015 Badminton World Championships,world championship
2015 Connecticut Sun season,women's sports
2015 Indiana Fever season,women's sports
2015 Indonesia Super Series Premier,open championship
2015 Los Angeles Sparks season,women's sports
2015–16 Cypriot First Division,boys' football
2016 Indonesia Open Superseries Premier,open championship
2016 Irish Badminton Championships,national championship
2016 La Flèche Wallonne Féminine,women's cycle sport
2016 Malaysia Super Series Premier,badminton national championship
2016 Malaysia Super Series Premier,open badminton championships
2017 Badminton World Championships,world championship
2017 FA Women's Cup Final,women's association football
2017 Indonesia Super Series,open championship
2017 Men's European Volleyball Championship qualification,men's volleyball
2017 Minnesota Lynx season,women's sports
2017 UEFA Women's Champions League Final,women's association football
2017 Women's European Volleyball Championship qualification,women's sports
2017–18 USC Trojans men's basketball team,men's basketball
2018 AFC Women's Asian Cup qualification,girls' football
2018 AFC Women's Asian Cup qualification,women's association football
2018 Australian Badminton Championships,national championship
2018 Badminton World Championships,world championship
2018 European Junior Badminton Championships,continental championship
2018 FA Women's Cup Final,women's association football
2018 Indonesia Open Badminton Championships,open championship
2018 UCI Road World Championships – Women's road race,women's cycle sport
2018 UEFA Women's Champions League Final,women's association football
2018-2019 Spanish Figure Skating Championships - senior ice dancing rhythm dance,senior
2019 Australian Badminton Championships,national championship
2019 Badminton World Championships,world championship
2019 CS Autumn Classic International - ice dancing rhythm dance,senior
2019 CS U.S. International Figure Skating Classic - ice dancing rhythm dance,senior
2019 German International Junior Badminton Championships,open championship
2019 Indonesia Open Badminton Championships,open championship
2019 Junior Grand Prix France - ice dancing rhythm dance,junior
2019 Junior Grand Prix Latvia - ice dancing rhythm dance,junior
2019 Junior Grand Prix Russia - ice dancing rhythm dance,junior
2019 Junior Grand Prix United States - ice dancing rhythm dance,junior
2019 NRW Trophy - senior ice dancing rhythm dance,senior
2019 UCI Road World Championships – Women's road race,women's cycle sport
2019 UEFA Women's Champions League Final,women's association football
2020 Australian Badminton Championships,national championship
2020 German Junior International Badminton Championships,open championship
2020 UEFA Women's Champions League Final,women's association football
2021 Australian Badminton Championships,national championship
2021 German Junior International Badminton Championships,open championship
2022 Australian Badminton Championships,national championship
2023 Australian Badminton Championships,national championship
2024 Australian Badminton Championships,national championship
2025 Australian Badminton Championships,national championship
2025 Dutch International Badminton Championships,open championship
2026 Dutch International Badminton Championships,open championship
2027 Dutch International Badminton Championships,open championship
2028 Dutch International Badminton Championships,open championship
Aris Thessalonikis B.C.,women's basketball
Asystel Novara,women's volleyball
Athinaikos women's basketball,women's basketball
Azzurra Volley San Casciano,women's volleyball
Badminton at the 2016 Summer Olympics,trans continental championship
Beijing Great Wall,women's basketball
Beşiktaş Women's Volleyball Team,women's volleyball
Bofrost Cup on Ice,senior
Campeonato Ecuatoriano de Futbol Femenino,women's association football
Campeonato Nacional da Guiné-Bissau,men's association football
Club Tijuana,women's association football
Confluence Queens F.C.,women's association football
Copa Catalunya de futbol femenina,women's association football
Copa de la Reina de Fútbol,girls' football
Copa de la Reina de Fútbol,women's association football
Costa Rican women's football championship,women's association football
Coupe de la Ligue,boys' football
Daejeon KGC,women's volleyball
Denmark national football team,boys' football
División de Honor Femenina de Rugby,women's sports
FC Barcelona Futsal,men's futsal
Fenerbahçe Women's Volleyball,women's volleyball
Frauen DFB Pokal,women's association football
Grand Prix Elsy Jacobs,women's cycle sport
Grand Prix of Figure Skating Final,senior
GS Caltex Seoul KIXX,women's volleyball
Guangdong Dolphins,women's sports
Gyeongbuk Gimcheon Hi-pass,women's volleyball
Henan Phoenix,women's sports
Herforder SV Borussia Friedenstal,girls' football
Herforder SV Borussia Friedenstal,women's association football
Hwaseong IBK Altos,women's volleyball
Incheon Heungkuk Life Pink Spiders,women's volleyball
ISU Grand Prix of Figure Skating,senior
İller Bankası Women's Volleyball,women's volleyball
İstanbul Cup,women's sports
Katowice Open,women's sports
Kopparbergs/Göteborg FC,women's association football
Ligat Nashim Rishona,women's association football
LJ Volley,women's volleyball
Malaysian Open,women's sports
Nottingham Open,women's sports
Olympiacos,women's basketball
Panionios B.C.,women's basketball
Paraguayan women's football championship,women's association football
Pelican Stars F.C.,women's association football
Peruvian women's football championship,women's association football
Portland Thorns FC,women's association football
RC Cannes,women's volleyball
Sarıyer Belediyesi SK,women's volleyball
SC Freiburg,women's association football
Spain women's national football team,girls' football
Spartans W.F.C.,girls' football
Suwon Hyundai Engineering & Construction Hillstate,women's volleyball
Tennis at the 2016 Summer Olympics – Mixed doubles,mixed doubles
Tiburones Rojos de Veracruz,women's association football
UEFA Women's Euro 2021 qualifying,women's sports
Volley Bergamo,women's volleyball
Växjö DFF,women's association football
