Subject,Object
KBlocks,"GNU General Public License, version 2.0"
KBreakout,"GNU General Public License, version 2.0"
KDiamond,"GNU General Public License, version 2.0"
KFourInLine,"GNU General Public License, version 2.0"
KGoldrunner,"GNU General Public License, version 2.0"
Kigo,"GNU General Public License, version 2.0 or later"
KNetWalk,"GNU General Public License, version 2.0"
Kompakte Darstellung der Chemnitzer Stadtgeschichte,Creative Commons Attribution 4.0 International
Konquest,"GNU General Public License, version 2.0"
KTuberling,GNU General Public License
Kubuntu,GNU General Public License
Kunst og Kultur,Creative Commons Attribution-NonCommercial
KWrite,general public licence
KWrite,gnu lesser general public license
La Directa,Creative Commons Attribution-NonCommercial-NoDerivatives
Leafpad,general public licence
Linux Mint,GNU General Public License
Lubuntu,GNU General Public License
matplotlib,Matplotlib license
Microsoft Windows,non-free license
Miscelánea de Estudios Árabes y Hebraicos. Sección Hebreo,Creative Commons Attribution-NonCommercial
mlpy,"GNU General Public License, version 3.0"
Monumente der Störung – Disruptive Eingriffe ins Dresdner Stadtbild,Creative Commons Attribution 4.0 International
MS-DOS,expat license
MS-DOS,non-free license
NumPy,3-clause BSD License
Ola Financiera,Creative Commons Attribution-NonCommercial
OpenBSD,3-clause bsd
OpenBSD,bsd licenses
OpenBSD,isc license
OpenCV,3-clause BSD License
openSUSE,GNU General Public License
OpenTTD,"gnu general public license, version 2.0"
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",Creative Commons Attribution
Panda3D,BSD licenses
pandas,BSD licenses
Photo Booth,non-free license
Popcorn Time,"GNU General Public License, version 3.0 or later"
Pos-Amiko,Creative Commons Attribution-ShareAlike 3.0 Unported
Pyftpdlib,MIT license
Pylons,4-clause BSD license
PyQt,GNU General Public License
PySerial,3-clause BSD License
Qt,GNU General Public License
Qt,GNU Lesser General Public License
Regionenbezogene Sinnstiftung durch Antikerezeption in der sächsischen Landes- und Regionalgeschichtsschreibung des 19. und 20. Jahrhunderts,Creative Commons Attribution 4.0 International
Revista Brasileira de Ciências Sociais,Creative Commons Attribution
Revista de Estudios Empresariales,Creative Commons Attribution-NonCommercial
Revista del Centro de Estudios Históricos de Granada y su Reino,Creative Commons Attribution-NonCommercial
Revista Espaço Acadêmico,Creative Commons Attribution-NonCommercial
Revista Internacional de Sociología,Creative Commons Attribution-NonCommercial
Revista Pediatría de Atención Primaria,Creative Commons Attribution-NonCommercial-NoDerivatives
RPyC,expat license
RPyC,MIT license
ScientificPython,cea cnrs inria logiciel libre
ScientificPython,CeCILL
scikit-learn,3-clause BSD License
SimPy,Expat license
SMath Studio,cc by-nd
SMath Studio,Creative Commons Attribution-NoDerivatives
SMath Studio,creative commons licejvugnses
SMath Studio,freeware
SymPy,3-clause bsd
Tajik Wikipedia,attribution-sharealike 3.0 unported
Tebeosfera,Creative Commons Attribution-ShareAlike
Theano,3-clause BSD License
Tkinter,BSD licenses
Tremulous,attribution-sharealike 2.5 license
Tremulous,gnu general public license v2.0 or later
Trimestre Economico,Creative Commons Attribution-NonCommercial-NoDerivatives
U.S. Route Numbering Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
Unity,proprietary license
Unreal Engine,open code
Unreal Engine,proprietary license
Uzbek Wikipedia,attribution-sharealike 3.0 unported
Vegueta,Creative Commons Attribution-NonCommercial-NoDerivatives
Verba Hispanica,Creative Commons Attribution-ShareAlike
VPython,Expat license
Warzone 2100,gnu general public license v2.0 or later
Wikidata,attribution-sharealike 3.0 unported
World of Warcraft,non-free license
Wowpedia,attribution-sharealike 3.0 unported
wxPython,GNU General Public License
wxWidgets,GNU General Public License
wxWidgets,wxWindows Library License
