Subject,Object
Painted Cross,Department of Paintings of the Louvre
Panneaux cintré Deux Pigeons,Cleveland Museum of Art
Paul Kemp-Robertson: Bitcoin. Sweat. Tide. Meet the future of branded currency.,TED conferences
"Peter Doolittle: How your ""working memory"" makes sense of the world",TED conferences
Plaqueta em Homenagem A Santos Dumont,Santos Dumont Collection
Plate,Cleveland Museum of Art
Plate with the Arms of the Pucci Family,Cleveland Museum of Art
Plate with the Arms of the Vitelleschi Family,Cleveland Museum of Art
Portrait of J.C. Dahl,Oslo Museum
Portrait of Madame Récamier,Department of Paintings of the Louvre
Relic-holding sword,Musée de l'Armée
Reliquary of the True Cross,Cleveland Museum of Art
Robert Muggah: How to protect fast-growing cities from failing,TED conferences
"Sheikha Al Mayassa: Globalizing the local, localizing the global",TED conferences
Shirin Neshat: Art in exile,TED conferences
Skyphos,Musée Saint-Raymond
Standing figure of Parvati,Ashmolean Museum
sword with fan-shaped pommel,Department of Near Eastern Antiquities of the Louvre
Szczerbiec,Wawel Royal Castle National Art Collection
Table Fountain,Cleveland Museum of Art
Teapot,Cleveland Museum of Art
"The Annunciation, with Saint Emidius",national gallery
The Hedges Vishnu,Ashmolean Museum
The Serpent Chooses Adam and Eve,private collection
The Virgin and Child with Saint Andrew and Saint Peter,National Galleries of Scotland
Unfinished Portrait of General Bonaparte,Department of Paintings of the Louvre
Untitled,The Phillips Collection
Venus of Urbino,galleria degli uffizi
Votive or Civic Badge with a Crowned Figure Kneeling before Christ,Cleveland Museum of Art
Zen,Teresia and Rafael Lönnström Foundation art collection
