Subject,Object
India Open Data Association,voluntary association
Institut industriel du Nord,epa
Institut national de l'audiovisuel,national public industrial or commercial establishment without a public accountant
Inter Milan,joint-stock company
Itaú Unibanco,S.A.
Itaú Unibanco,sociedade anônima
Järvenpää,finnish municipality
KEDGE Business School,association loi 1901
Kerava,finnish municipality
Kirchenbezirk Bernhausen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Brackenheim,Körperschaft des öffentlichen Rechts
Kirchenbezirk Böblingen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Tuttlingen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Tübingen,Körperschaft des öffentlichen Rechts
Kirchenbezirk Vaihingen an der Enz,Körperschaft des öffentlichen Rechts
Kirchenbezirk Weikersheim,Körperschaft des öffentlichen Rechts
Kirchenbezirk Weinsberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Öhringen,Körperschaft des öffentlichen Rechts
Kokkola,finnish municipality
Komerční banka,a.s.
Komerční banka,akciová společnost
Lidové divadlo,spolek
Ligue de Football Professionnel,association loi 1901
Lille University of Health and Law,"public scientific, cultural or professional establishment"
Lillehammer,komm
LSVD,registered association
Lund Municipality,municipality of sweden
Magnit,open joint-stock company
MUFG Bank,co. ltd.
MUFG Bank,kabushiki gaisha
Målilla-Gårdveda hembygdsförening,voluntary association
N M Rothschild & Sons,limited company (uk)
N M Rothschild & Sons,public limited company
Naturschutzbund Deutschland,registered association
New Line Cinema,subsidiary
Nintendo,co. ltd.
Nintendo,limited company (uk)
Northrop Grumman,public company
NPO Mashinostroyeniya,joint-stock company
Nykvarn Municipality,municipality of sweden
Nyköping Municipality,municipality of sweden
Paris-Sorbonne University - Paris IV,"public scientific, cultural or professional establishment"
Patou,Société par actions simplifiée
Peruvian Football Federation,citizen sector organization
Pixar,subsidiary
Pomeranian Evangelical Church,Körperschaft des öffentlichen Rechts
Popular Bank of Milan,joint-stock company
Rete Ferroviaria Italiana,joint-stock company
Sabian,joint-stock company
San Francisco Symphony,501 (c) (3)
Sankt Anna hembygdsförening,voluntary association
Santander Brasil,public limited company
Santander Brasil,sociedade anónima
Scotiabank,business corporation
SEB Pank,as
SEB Pank,public limited company
Sjöbo Municipality,municipality of sweden
Skellefteå Kraft,ab
Skema Business School,association déclarée
Sony,co. ltd.
SPARC Europe,stichting
Sparda-Bank Baden-Württemberg,Eingetragene Genossenschaft
Sparda-Bank Südwest,Eingetragene Genossenschaft
Sparda-Bank West,Eingetragene Genossenschaft
Staffanstorp Municipality,municipality of sweden
Statnett,norwegian state-owned enterprise
Svenska Jägareförbundet,nonprofit organization
Tesco,public limited company
The Master Trust Bank of Japan,kabushiki gaisha
The Weinstein Company,limited liability company
Uherské Hradiště,municipality of czechia
University of Bordeaux 1,epscp
University of Bordeaux 1,"public scientific, cultural or professional establishment"
University of French Polynesia,"public scientific, cultural or professional establishment"
University of Nice Sophia-Antipolis,"public scientific, cultural or professional establishment"
University of Paris VI: Pierre-and-Marie-Curie University,"public scientific, cultural or professional establishment"
Visa Inc.,delaware company
Yamaha Corporation,joint-stock company
Zentralverband des Deutschen Baugewerbes,registered association
École supérieure de journalisme de Paris,limited liability company (with no further details)
Škoda Works,a.s.
