Subject,Object
1997 Great American Insurance ATP Championships,Women's Tennis Association
1999 DFS Classic,Women's Tennis Association
1999 NBA Playoffs,National Basketball Association
2000 African Cup of Nations Final,Confederation of African Football
2000 DFS Classic,Women's Tennis Association
2000 Legg Mason Tennis Classic,Women's Tennis Association
2001 Pilot Pen Tennis,Women's Tennis Association
2002 DFS Classic,Women's Tennis Association
2003 NHL Entry Draft,National Hockey League
2003 Pilot Pen Tennis,Women's Tennis Association
2004 African Cup of Nations Final,Confederation of African Football
2004 Pilot Pen Tennis,Women's Tennis Association
2005 DFS Classic,Women's Tennis Association
2005 European Athletics Indoor Championships,European Athletic Association
2005 European Figure Skating Championships - ice dancing compulsory dance,International Skating Union
2005 Legg Mason Tennis Classic,Women's Tennis Association
2006 DFS Classic,Women's Tennis Association
2006 European Figure Skating Championships - ice dancing compulsory dance,International Skating Union
2006 NBA Playoffs,National Basketball Association
2007 European Athletics Indoor Championships,European Athletic Association
2007 European Figure Skating Championships - ice dancing compulsory dance,International Skating Union
2007 Legg Mason Tennis Classic,Women's Tennis Association
2007 Pilot Pen Tennis,Women's Tennis Association
2008 Cup of China - ice dancing compulsory dance,Chinese Skating Association
2008 Cup of Russia - ice dancing compulsory dance,Figure Skating Federation of Russia
2008 European Figure Skating Championships - ice dancing compulsory dance,International Skating Union
2008 Pilot Pen Tennis,Women's Tennis Association
2008 Skate America - ice dancing compulsory dance,U.S. Figure Skating
2008 Skate Canada International - ice dancing compulsory dance,Skate Canada
2008 Trophée Eric Bompard - ice dancing compulsory dance,French Federation of Ice Sports
2009 Cup of China - ice dancing compulsory dance,Chinese Skating Association
2009 European Figure Skating Championships - ice dancing compulsory dance,International Skating Union
2009 Legg Mason Tennis Classic,Women's Tennis Association
2009 NHK Trophy - ice dancing compulsory dance,Japan Skating Federation
2009 NHL Entry Draft,National Hockey League
2009 Pilot Pen Tennis,Women's Tennis Association
2009 Rostelecom Cup - ice dancing compulsory dance,Figure Skating Federation of Russia
2009 Skate America - ice dancing compulsory dance,U.S. Figure Skating
2009 Skate Canada International - ice dancing compulsory dance,Skate Canada
2012 AEGON Classic,Women's Tennis Association
2012 New Haven Open at Yale,Women's Tennis Association
2012 NHL Entry Draft,National Hockey League
2014 Connecticut Open,Women's Tennis Association
2015 Connecticut Open,Women's Tennis Association
2015 World Championships in Athletics – Men's 100 metres,World Athletics
2016 Connecticut Open,Women's Tennis Association
2017 Connecticut Open,Women's Tennis Association
2017 European Athletics Indoor Championships,European Athletic Association
2018 Connecticut Open,Women's Tennis Association
2018 European Rowing Championships,International Rowing Federation
2018-2019 Spanish Figure Skating Championships - senior ice dancing rhythm dance,Spanish Ice Sports Federation
2019 CS Autumn Classic International - ice dancing rhythm dance,Skate Canada
2019 CS U.S. International Figure Skating Classic - ice dancing rhythm dance,U.S. Figure Skating
2019 Junior Grand Prix France - ice dancing rhythm dance,International Skating Union
2019 Junior Grand Prix Latvia - ice dancing rhythm dance,International Skating Union
2019 Junior Grand Prix Russia - ice dancing rhythm dance,International Skating Union
2019 Junior Grand Prix United States - ice dancing rhythm dance,International Skating Union
2019 NRW Trophy - senior ice dancing rhythm dance,Deutsche Eislauf-Union
24th Chess Olympiad,FIDE
29th Chess Olympiad,FIDE
Adelaide International,Tennis Australia
Athletics at the 2004 Summer Olympics – Men's 200 metres,International Olympic Committee
Athletics at the 2008 Summer Olympics – Men's 200 metres,International Olympic Committee
Athletics at the 2008 Summer Olympics – Men's 4 × 100 metres relay,International Olympic Committee
Athletics at the 2012 Summer Olympics – Men's 200 metres,International Olympic Committee
Athletics at the 2012 Summer Olympics – Men's 4 × 100 metres relay,International Olympic Committee
ATP Finals,Association of Tennis Professionals
Brisbane International,Women's Tennis Association
Campeonato Ecuatoriano de Futbol Femenino,Ecuadorian Football Federation
Campeonato Nacional da Guiné-Bissau,Federação de Futebol da Guiné-Bissau
Clash of Champions,WWE
Copa Catalunya de futbol femenina,Catalan Football Federation
Copa de la Reina de Fútbol,Royal Spanish Football Federation
Costa Rican women's football championship,Costa Rican Football Federation
Coupe de la Ligue,Ligue de Football Professionnel
División de Honor Femenina de Rugby,Spanish Rugby Federation
Eastbourne International,Women's Tennis Association
Elimination Chamber,WWE
England 6-1 Panama,FIFA
Fastlane,WWE
Federation Cup,All India Football Federation
Figure skating at the 2020 Winter Youth Olympics – Boys' singles,International Olympic Committee
Figure skating at the 2020 Winter Youth Olympics – Girls' singles,International Olympic Committee
Figure skating at the 2020 Winter Youth Olympics – Ice dancing,International Olympic Committee
Figure skating at the 2020 Winter Youth Olympics – Pair skating,International Olympic Committee
Finnish League Cup,The Finnish Football League Association
France 2-1 Australia,FIFA
Frauen DFB Pokal,German Football Association
Gerry Weber Open,Association of Tennis Professionals
Hell in a Cell,WWE
Iran 0-1 Spain,FIFA
Ligat Nashim Rishona,Israel Football Association
Maharashtra Open,Association of Tennis Professionals
No Mercy,WWE
Nottingham Open,Women's Tennis Association
NXT TakeOver: Brooklyn 4,WWE
NXT TakeOver: New Orleans,WWE
NXT TakeOver: Philadelphia,WWE
NXT TakeOver: Phoenix,WWE
NXT TakeOver: WarGames,WWE
Paraguayan women's football championship,Paraguayan Football Association
Paris Masters,Association of Tennis Professionals
Peruvian women's football championship,Peruvian Football Federation
PFL Cup,Russian Professional Football League
Qatar Open,Association of Tennis Professionals
Rio Open,Women's Tennis Association
Royal Rumble,WWE
Russian Premier League Cup,Russian Football Premier League
Scottish League Cup,Scottish Professional Football League
South Korea 1-2 Mexico,FIFA
South Korea 2-0 Germany,FIFA
St. Petersburg Open,Association of Tennis Professionals
Taça da Liga,Portuguese League for Professional Football
Thai League Cup,Football Association of Thailand
"TLC: Tables, Ladders & Chairs",WWE
Trinidad and Tobago League Cup,TT Pro League
USSR Federation Cup,Football Federation of the Soviet Union
WrestleMania 35,WWE
WWE Greatest Royal Rumble,WWE
