Subject,Object
Novocherkassk Cathedral,Byzantine Revival architecture
"Old Cathedral, Linz",baroque architecture
Ozuka-kofun,Keyhole-shaped kofun
Palácio do Planalto,modern architecture
Palácio do Planalto,Modern Movement
Paoay Church,Earthquake Baroque
Penne Cathedral,gothic architecture
Penne Cathedral,renaissance architecture
Penne Cathedral,Romanesque architecture
Propositura di San Niccolò,Romanesque Revival architecture
Rashtrapati Bhavan,classical revival architecture
Rashtrapati Bhavan,Neoclassical architecture
Redwood Meadow Ranger Station,National Park Service rustic
Reichstag building,modern architecture
Reichstag building,neo-renaissance
Saint George's Cathedral,Baroque Revival architecture
Saint Isaac's Cathedral,neoclassical architecture in russia
Saint-Merri,gothic art
Saints Peter and Paul Church,baroque architecture
San Giovanni Battista,Romanesque architecture
San Giovanni Battista a Corsano,Romanesque architecture
San Giovanni in Sugana,Romanesque architecture
Sant Esteve,Romanesque architecture
Sant'Agata,Romanesque architecture
Sant'Andrea al Quirinale,baroque architecture
Santi Ansano e Tommaso,Romanesque architecture
Schönau Abbey,Gothic architecture
Slavkov Castle,baroque architecture
Somerset House,classical revival architecture
St. Basil's Cathedral,Byzantine architecture
St. Helen's Gate,baroque architecture
St. Michael's Cathedral,Byzantine Revival architecture
"St. Michael's Church, Munich",Renaissance architecture
"St. Paul's Church, Munich",Gothic Revival architecture
"St. Peter's Church, Munich",Gothic architecture
SunTrust Plaza,Postmodern architecture
Synagogue of Santa María la Blanca,Moorish architecture
Tadeiyama Kofun,Keyhole-shaped kofun
The Convent,Victorian architecture
The Dorchester,Art Deco
Tintern Abbey,gothic architecture
Torre a Cal Ferrer,Gothic architecture
Torre d'Escaló,vernacular architecture
Torre del Pubill,Romanesque architecture
Torres d'Ogern,Renaissance architecture
Trasserra,vernacular architecture
Tsubai Otsukayama Kofun,Keyhole-shaped kofun
Tsudo-shiroyama Kofun,Keyhole-shaped kofun
Union Depot,Tudor Revival architecture
Vista Tower,Modern Movement
Warner Valley Ranger Station,rustic architecture
Wild Basin Ranger Station,rustic architecture
Willow Tearooms,Art Nouveau
Willow Tearooms,art nouveau architecture
Yelokhovo Cathedral,Neoclassical architecture
