Subject,Object
Sense and Sensibility,public domain
Siedmiu przeciw Tebom,public domain
SimPy,copyright-protected
SMath Studio,copyright-protected
Sonnet 69,dp
Sonnet 70,dp
Sonnet 80,dp
Sonnet 81,dp
St John the Baptist and Veronica Diptych,public domain
Strange Case of Dr Jekyll and Mr Hyde,public domain
SymPy,copyright-protected
Table Fountain,public domain
Tajik Wikipedia,copyright-protected
Teapot,copyrighted
Teapot,public domain
The Amazon,public domain
"The Annunciation, with Saint Emidius",dp
The Beast in the Jungle,dp
The Beast in the Jungle,public domain
The Canterville Ghost,dp
The Canterville Ghost,public domain
The City on the Edge of Forever,copyright-protected
The Devil,public domain
"The East Prospect of the City of Philadelphia, in the Province of Pennsylvania",public domain
The English Schoole-Master,dp
The English Schoole-Master,public domain
The Galileo Seven,copyright-protected
The Invisible Man,dp
The Invisible Man,public domain
The Nigger of the 'Narcissus',public domain
The Portrait,public domain
The Santa Fe Trail,public domain
The Touchstone,public domain
The Turn of the Screw,public domain
Tkinter,copyright-protected
Torquato Tasso e la principessa Eleonora d'Este,public domain
Tosca,public domain
Tremulous,copyright-protected
Troilus i Kresyda,public domain
Um den Scharmützel-See,public domain
Unos cuantos seudónimos de escritores españoles con sus correspondientes nombres verdaderos,public domain
Unreal Engine,copyright-protected
Uzbek Wikipedia,copyright-protected
Vase,public domain
Venus of Urbino,dp
Votive or Civic Badge with a Crowned Figure Kneeling before Christ,public domain
Warzone 2100,copyright-protected
Wikidata,copyright-protected
World of Warcraft,copyright-protected
Wuthering Heights,public domain
Zootopia,copyright-protected
